,CONS_TDS,Acres,PM,PM_FORMULA,APM,APM_FORMULA,SUPER,SUPER_FORMULA,ASUPER,ASUPER_FORMULA,SOG,SOG_FORMULA,HA,HA_FORMULA,SOC,SOC_FORMULA,CTG,CTJ,CJG_TOTAL,CJG_FORMULA,CTX,CTX_FORMULA,MW,MW_FORMULA,SEC,SEC_FORMULA,TOT,TOT_FORMULA
106,153,1.06,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,7,8,5,5.0,5.0,2.0,1.0,2.0,2.0,24.0,20.0
107,162,3.85,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,8,9,6,5.0,5.0,2.0,2.0,2.0,2.0,25.0,22.0
108,163,7.83,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,10,11,12,5.0,5.0,4.0,4.0,2.0,2.0,29.0,30.0
109,165,20.44,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,15,17,17,5.0,5.0,5.0,5.0,2.0,2.0,38.0,38.0
110,166,13.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,16,17,18,5.0,5.0,5.0,6.0,2.0,2.0,38.0,40.0
111,167,7.55,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,10,11,12,5.0,5.0,4.0,4.0,2.0,2.0,32.0,30.0
112,168,5.56,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,7,8,8,5.0,5.0,2.0,2.0,2.0,2.0,24.0,24.0
113,169,10.16,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,12,13,15,5.0,5.0,4.0,4.0,2.0,2.0,31.0,33.0
114,170,17.22,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,21,22,22,5.0,5.0,7.0,7.0,2.0,2.0,47.0,47.0
115,172,20.16,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,19,20,19,5.0,5.0,6.0,6.0,2.0,2.0,43.0,42.0
116,180,5.47,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,9,11,10,5.0,5.0,3.0,3.0,2.0,2.0,28.0,27.0
117,182,3.23,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,7,8,8,5.0,5.0,2.0,2.0,2.0,2.0,24.0,24.0
118,186,10.28,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,12,13,14,5.0,5.0,4.0,4.0,2.0,2.0,31.0,32.0
119,194,11.32,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,7,8,10,5.0,5.0,3.0,3.0,2.0,2.0,25.0,27.0
120,197,5.71,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,7,8,9,5.0,5.0,3.0,3.0,2.0,2.0,25.0,26.0
121,210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,221,6.25,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,7,8,8,5.0,5.0,3.0,2.0,2.0,2.0,25.0,24.0
123,234,4.2,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,7,8,8,3.0,5.0,2.0,2.0,2.0,2.0,22.0,24.0
