GEO_BORO,NYCHA_BORO,CONS_TDS,CONS_NAME,DEV_NAME,TDS,AMP,TOTAL_HH,TOTAL_POP,AVG_FAMILY_SIZE,AVG_TENURE,CURRENT_APTS,TOTAL_APTS,STAIRHALLS
Brooklyn,Brooklyn,73,Sumner,BEDFORD-STUYVESANT REHAB,311,NY005010730,82,193,2.4,18.2,84,85,5
Brooklyn,Mixed Finance,46,Boulevard,BELMONT-SUTTER AREA,345,NY005010460,72,184,2.6,19.6,72,72,8
Brooklyn,Brooklyn,243,Borinquen Plaza,BORINQUEN PLAZA I,243,NY005012430,502,"1,104",2.2,25.3,509,509,10
Brooklyn,Brooklyn,243,Borinquen Plaza,BORINQUEN PLAZA II,271,NY005012430,418,"1,088",2.6,27.5,425,425,7
Brooklyn,Mixed Finance,46,Boulevard,BOULEVARD,46,NY005020460,"1,380","2,611",1.9,21.9,1424,1441,30
Brooklyn,Brooklyn,56,Breukelen,BREUKELEN,56,NY005000560,"1,565","3,406",2.2,26.1,1592,1595,97
Brooklyn,Brooklyn,65,Brevoort,BREVOORT,65,NY005000650,883,"1,879",2.1,29.1,894,896,27
Brooklyn,Brooklyn,252,Marcus Garvey,BROWN,325,NY005012520,196,218,1.1,14.8,200,200,2
Brooklyn,NGO1,16,Brownsville,BROWNSVILLE,16,NY005000160,"1,306","3,109",2.4,22.9,1336,1338,46
Brooklyn,Mixed Finance,86,Bushwick,BUSHWICK,86,NY005020860,"1,205","2,780",2.3,23.4,1219,1220,8
Brooklyn,Brooklyn,166,Carey Gardens,CAREY GARDENS,166,NY005011660,666,"1,585",2.4,20.6,682,683,5
Brooklyn,Brooklyn,170,Surfside Gardens,CONEY ISLAND,94,NY005011700,525,"1,099",2.1,24.3,530,534,5
Brooklyn,Brooklyn,166,Carey Gardens,CONEY ISLAND I (SITE 1B),239,NY005011660,189,488,2.6,24.5,192,193,1
Brooklyn,Brooklyn,172,O'Dwyer Gardens,CONEY ISLAND I (SITE 8),238,NY005011720,117,343,2.9,20.5,124,125,2
Brooklyn,Brooklyn,170,Surfside Gardens,CONEY ISLAND I (SITES 4 & 5),216,NY005011700,370,992,2.7,20.3,376,376,6
Brooklyn,Brooklyn,69,Cooper Park,COOPER PARK,69,NY005000690,696,"1,538",2.2,28.3,700,700,13
Brooklyn,Brooklyn,351,Park Rock Consolidation,CROWN HEIGHTS,312,NY005013510,120,238,2,21.1,121,121,8
Brooklyn,Brooklyn,70,Cypress Hills,CYPRESS HILLS,70,NY005010700,"1,418","3,153",2.2,21.2,1439,1444,30
