MAKE,MODL,YEAR,DESCRIPTION,SERIAL #,PO #, COST ,DATE,LOCATION,Tag # 
JOHN DEERE,855 D GATOR,2015,TRACTOR,1M0855DEHFM100019,1432391,"$22,968.33 ",12/15/14,PELHAM PKWY,EQ-022779
JOHN DEERE,855 D GATOR,2015,TRACTOR,1M0855DEHFM100036,1432391,"$22,968.33 ",12/31/14,GRANT,EQ-022788
JOHN DEERE,855 D GATOR,2015,TRACTOR,1M0855DEHFM100098,1432391,"$22,968.33 ",1/6/15,DYCKMAN,EQ-022797
JOHN DEERE,855 D GATOR,2015,TRACTOR,1M0855DEJFM100028,1432391,"$22,968.33 ",12/17/14,MARINERS HARBOR,EQ-022795
JOHN DEERE,855 D GATOR,2015,TRACTOR,1M0855DEJFM100031,1432391,"$22,968.33 ",12/11/14,WALD,EQ-022791
JOHN DEERE,855 D GATOR,2015,TRACTOR,1M0855DEKFM100013,1432391,"$22,968.33 ",12/12/14,LOANER,EQ-022798
JOHN DEERE,855 D GATOR,2015,TRACTOR,1M0855DEKFM100027,1432391,"$22,968.33 ",1/5/15,SOUTH BEACH,EQ-022793
JOHN DEERE,855 D GATOR,2015,TRACTOR,1M0855DEKFM100030,1432391,"$22,968.33 ",12/19/14,MARBLE HILL,EQ-022794
JOHN DEERE,855 GATOR,2014,TRACTOR,1M0855DEKFM101520,1501612,"$22,968.00 ",3/19/15,TILDEN,EQ-022865
JOHN DEERE,855 D GATOR,2015,TRACTOR,1M0855DELFM100018,1432391,"$22,968.33 ",12/10/14,MILLBROOK,EQ-022786
JOHN DEERE,855 D GATOR,2015,TRACTOR,1M0855DELFM100035,1432391,"$22,968.33 ",1/6/15,RIIS,EQ-022780
JOHN DEERE,855 GATOR,2014,TRACTOR,1M0855DEPEM082528,1418843,"$13,999.00 ",8/22/14,BUTLER,EQ-022583
JOHN DEERE,855 GATOR,2014,TRACTOR,1M0855DEPEM082593,1418843,"$13,999.00 ",8/21/14,COOPER PARK,EQ-0225378
JOHN DEERE,855 D GATOR,2015,TRACTOR,1M0855DEPFM100012,1432391,"$22,968.33 ",12/24/14,HAMMEL,EQ-022783
JOHN DEERE,855 GATOR,2014,TRACTOR,1M0855DEPFM101516,1501612,"$22,968.00 ",3/19/15,PATTERSON,EQ-022868
JOHN DEERE,855 GATOR,2014,TRACTOR,1M0855DETEM082527,1418843,"$13,999.00 ",8/22/14,MURPHY,EQ-022582
JOHN DEERE,855 GATOR,2014,TRACTOR,1M0855DETEM082589,1418843,"$13,999.00 ",8/21/14,EAST RIVER,EQ-022575
JOHN DEERE,855 GATOR,2014,TRACTOR,1M0855DETFM101515,1501612,"$22,968.00 ",3/19/15,MITCHEL,EQ-022867
JOHN DEERE,855 GATOR,2014,TRACTOR,1M0855DEVEM082518,1418843,"$13,999.00 ",7/18/14,CAREY GARDENS,EQ-022537
JOHN DEERE,855 D GATOR,2015,TRACTOR,1M0855DEVFM100016,1432391,"$22,968.33 ",12/23/14,MORRISANIA,EQ-022784
JOHN DEERE,855 D GATOR,2015,TRACTOR,1M0855DEVFM100033,1432391,"$22,968.33 ",12/10/14,RAVENSWOOD,EQ-022781
JDEERE,X710,2013,Tractor,1M0X710AADM010140,1305050,"$16,450.99 ",4/8/13,ASTORIA,AU-020600
JOHN DEERE,X710,2015,TRACTOR,1M0X710AAFM031153,1526415,"$19,871.69 ",10/28/15,LINDEN,EQ-022956
JOHN DEERE,X710,2015,TRACTOR,1M0X710AAFM031170,1526415,"$19,871.69 ",10/28/15,CASSIDY/LAFAYETTE,EQ-022971
JOHN DEERE,X710,2015,TRACTOR,1M0X710AAFM031184,1526415,"$19,871.69 ",11/6/15,CYPRESS HILLS,EQ-022974
JDEERE,X710,2013,Tractor,1M0X710ACDM010113,1305050,"$16,450.99 ",4/9/13,GRAVESEND,AU-020603
JDEERE,X710,2013,Tractor,1M0X710ACDM010118,1305050,"$16,450.99 ",4/9/13,CONEY ISLAND,AU-020604
JDEERE,X710,2013,Tractor,1M0X710ACDM010197,1305050,"$16,450.99 ",4/19/13,LINCOLN,AU-020627
JOHN DEERE,X710,2014,TRACTOR,1M0X710ACEM020108,1409370,"$18,258.44 ",5/12/14,SUMNER,EQ-022330
JOHN DEERE,X710,2014,TRACTOR,1M0X710ACEM020111,1409370,"$18,258.44 ",5/12/14,QUEENSBRIDGE NO.,EQ-022326
JOHN DEERE,X710,2015,TRACTOR,1M0X710ACFM030106,1526415,"$19,871.69 ",10/28/15,POLO GROUNDS,EQ-022960
JOHN DEERE,X710,2015,TRACTOR,1M0X710ACFM031148,1526415,"$19,871.69 ",10/28/15,LOANER,EQ-022967
JOHN DEERE,X710,2015,TRACTOR,1M0X710ACFM031157,1526415,"$19,871.69 ",10/28/15,UNION AVE CONSOLIDATED,EQ-022973
JOHN DEERE,X710,2015,TRACTOR,1M0X710ACFM031160,1526415,"$19,871.69 ",10/28/15,MARCY,EQ-022954
JOHN DEERE,X710,2015,TRACTOR,1M0X710ACFM031174,1526415,"$19,871.69 ",11/6/15,MELROSE,MA-489309
JOHN DEERE,X710,2015,TRACTOR,1M0X710ACFM031179,1526415,"$19,871.69 ",11/6/15,GOMPERS,MA-489304
JOHN DEERE,X710,2015,TRACTOR,1M0X710ACFM031182,1526415,"$19,871.69 ",11/24/15,FRED SAMUELS,MA-489314
JOHN DEERE,X710,2015,TRACTOR,1M0X710ACFM031191,1526415,"$19,871.69 ",11/24/15,TODT HILL,MA-489316
JOHN DEERE,X710,2015,TRACTOR,1M0X710ACFM031215,1526415,"$19,871.69 ",10/28/15,BAYVIEW,EQ-022969
JOHN DEERE,X710,2015,TRACTOR,1M0X710AEFM031156,1526415,"$19,871.69 ",10/28/15,CLINTON,EQ-022965
JOHN DEERE,X710,2015,TRACTOR,1M0X710AEFM031187,1526415,"$19,871.69 ",11/24/15,ST. MARY'S,MA-489315
JOHN DEERE,X710,2015,TRACTOR,1M0X710AEFM031190,1526415,"$19,871.69 ",11/27/15,JOHNSON,MA-489319
JOHN DEERE,X710,2014,TRACTOR,1M0X710AHEM020123,1409370,"$18,258.44 ",5/5/14,RAVENSWOOD,EQ-022322
JOHN DEERE,X710,2015,TRACTOR,1M0X710AHFM031155,1526415,"$19,871.69 ",10/28/15,VAN DYKE,EQ-022958
JOHN DEERE,X710,2015,TRACTOR,1M0X710AHFM031172,1526415,"$19,871.69 ",11/6/15,RIIS,MA-489312
JOHN DEERE,X710,2015,TRACTOR,1M0X710AHFM031186,1526415,"$19,871.69 ",11/6/15,MARBLE HILL,MA-489308
JOHN DEERE,X710,2015,TRACTOR,1M0X710AHFM031219,1526415,"$19,871.69 ",11/24/15,SUMNER,MA-489313
