,CONS,ROLE,ACTUAL,BUDGETED,CONS_TDS,CONS_NAME,TITLE_NAME,CODE_KEY,CODE_NAME
135,Breukelen,CARETAKER HA_X,2,3,056,BREUKELEN,CARETAKER HA_X,12.0,CTX
136,Breukelen,CLERICAL ASO,1,1,056,BREUKELEN,CLERICAL ASO,3.0,SEC
137,Breukelen,HSG AST,4,4,056,BREUKELEN,HSG AST,4.0,HA
138,Breukelen,HSG MGR,1,1,056,BREUKELEN,HSG MGR,1.0,PM
139,Breukelen,MAINT WORKER,6,7,056,BREUKELEN,MAINT WORKER,9.0,MW
140,Breukelen,RES BLDG SUPT,1,1,056,BREUKELEN,RES BLDG SUPT,5.0,SUPER
141,Breukelen,SECY,1,1,056,BREUKELEN,SECY,3.0,SEC
142,Breukelen,SUPV HSG CRTKR,2,2,056,BREUKELEN,SUPV HSG CRTKR,7.0,SOC
143,Breukelen,SUPV HSG GDKPR,1,1,056,BREUKELEN,SUPV HSG GDKPR,8.0,SOG
144,Brevoort,AST RES BLDG SP,1,1,065,BREVOORT,AST RES BLDG SP,6.0,ASUPER
145,Brevoort,CARETAKER HA,12,11,065,BREVOORT,CARETAKER HA,10.0,CTJ
146,Brevoort,CARETAKER HA_G,1,0,065,BREVOORT,CARETAKER HA_G,13.0,CTG
147,Brevoort,CARETAKER HA_X,6,6,065,BREVOORT,CARETAKER HA_X,12.0,CTX
148,Brevoort,HSG AST,2,2,065,BREVOORT,HSG AST,4.0,HA
149,Brevoort,HSG MGR,1,1,065,BREVOORT,HSG MGR,1.0,PM
150,Brevoort,MAINT WORKER,4,4,065,BREVOORT,MAINT WORKER,9.0,MW
151,Brevoort,RES BLDG SUPT,1,1,065,BREVOORT,RES BLDG SUPT,5.0,SUPER
152,Brevoort,SECY,2,2,065,BREVOORT,SECY,3.0,SEC
153,Brevoort,SUPV HSG CRTKR,0,1,065,BREVOORT,SUPV HSG CRTKR,7.0,SOC
154,Brevoort,SUPV HSG GDKPR,1,1,065,BREVOORT,SUPV HSG GDKPR,8.0,SOG
155,Bronx Borough Office,ADM HSG MGR,1,1,,NO NAME FOUND,,,
156,Bronx Borough Office,ADM HSG SUPT,4,5,,NO NAME FOUND,,,
157,Bronx Borough Office,ADM MANAGER-NM,0,1,,NO NAME FOUND,,,
158,Bronx Borough Office,ADM MGR-NM,1,0,,NO NAME FOUND,ADM MGR-NM,1.0,PM
159,Bronx Borough Office,AST RES BLDG SP,2,1,,NO NAME FOUND,AST RES BLDG SP,6.0,ASUPER
160,Bronx Borough Office,BRICKLAYER,9,9,,NO NAME FOUND,,,
161,Bronx Borough Office,CARETAKER HA,43,36,,NO NAME FOUND,CARETAKER HA,10.0,CTJ
162,Bronx Borough Office,CARETAKER HA_X,1,1,,NO NAME FOUND,CARETAKER HA_X,12.0,CTX
163,Bronx Borough Office,CARPENTER,35,36,,NO NAME FOUND,,,
164,Bronx Borough Office,CLERICAL ASO,1,1,,NO NAME FOUND,CLERICAL ASO,3.0,SEC
165,Bronx Borough Office,ELECTRCN HELPER,5,4,,NO NAME FOUND,,,
166,Bronx Borough Office,ELECTRICIAN,5,6,,NO NAME FOUND,,,
167,Bronx Borough Office,GLAZIER,3,3,,NO NAME FOUND,,,
168,Bronx Borough Office,HSG AST,2,1,,NO NAME FOUND,HSG AST,4.0,HA
169,Bronx Borough Office,HSG EXTRMNTR,16,18,,NO NAME FOUND,,,
170,Bronx Borough Office,HSNG EXTR AL2,1,0,,NO NAME FOUND,,,
