ASSETNUM,LOCATION,DESCRIPTION,INSTALLDATE,SITEID,STATE,ZZTYPE
74459957,132.GND01,EXTERIOR COMPACTOR,1-Jan-10,BX,OPERATING,COMPACTOR
74459958,132.GND01,EXTERIOR COMPACTOR,1-Jan-10,BX,OPERATING,COMPACTOR
74459842,134.GND01,EXTERIOR COMPACTOR,1-Jan-10,MN,OPERATING,COMPACTOR
74459843,134.GND01,EXTERIOR COMPACTOR,1-Jan-10,MN,OPERATING,COMPACTOR
74460023,135.GND01,EXTERIOR COMPACTOR,22-Nov-06,BK,OPERATING,COMPACTOR
74460024,135.GND01,EXTERIOR COMPACTOR,22-Nov-06,BK,OPERATING,COMPACTOR
74459878,136.GND01,EXTERIOR COMPACTOR,22-Apr-02,MN,OPERATING,COMPACTOR
74459879,136.GND01,EXTERIOR COMPACTOR,22-Apr-02,MN,OPERATING,COMPACTOR
74459810,138.GND01,EXTERIOR COMPACTOR,22-Nov-00,BX,OPERATING,COMPACTOR
74459811,138.GND01,EXTERIOR COMPACTOR,22-Nov-00,BX,OPERATING,COMPACTOR
74459910,139.GND01,EXTERIOR COMPACTOR,7-Dec-95,MN,OPERATING,COMPACTOR
74460096,141.GND01,EXTERIOR COMPACTOR,25-Oct-07,BX,OPERATING,COMPACTOR
74460095,141.GND01,EXTERIOR COMPACTOR,25-Oct-07,BX,OPERATING,COMPACTOR
74459961,145.GND01,EXTERIOR COMPACTOR,21-Oct-98,BX,OPERATING,COMPACTOR
74459960,145.GND01,EXTERIOR COMPACTOR,12-Aug-03,BX,OPERATING,COMPACTOR
74459959,145.GND01,EXTERIOR COMPACTOR,12-Aug-03,BX,OPERATING,COMPACTOR
74459962,145.GND01,EXTERIOR COMPACTOR,21-Oct-98,BX,OPERATING,COMPACTOR
74459896,147.GND01,EXTERIOR COMPACTOR,15-Jul-09,MN,OPERATING,COMPACTOR
74459897,147.GND01,EXTERIOR COMPACTOR,15-Jul-09,MN,OPERATING,COMPACTOR
74459853,148.GND01,EXTERIOR COMPACTOR,7-Jul-95,MN,OPERATING,COMPACTOR
74459855,148.GND01,EXTERIOR COMPACTOR,7-Jul-95,MN,OPERATING,COMPACTOR
74459854,148.GND01,EXTERIOR COMPACTOR,7-Jul-95,MN,OPERATING,COMPACTOR
74459992,149.GND01,EXTERIOR COMPACTOR,11-Apr-97,MN,OPERATING,COMPACTOR
74459993,149.GND01,EXTERIOR COMPACTOR,11-Apr-97,MN,OPERATING,COMPACTOR
74459991,149.GND01,EXTERIOR COMPACTOR,11-Apr-97,MN,OPERATING,COMPACTOR
74459775,156.GND01,EXTERIOR COMPACTOR,3-Oct-03,BK,OPERATING,COMPACTOR
74460108,163.GND01,EXTERIOR COMPACTOR,10-Jan-02,BK,OPERATING,COMPACTOR
74460109,163.GND01,EXTERIOR COMPACTOR,10-Jan-02,BK,OPERATING,COMPACTOR
74459833,164.GND01,EXTERIOR COMPACTOR,13-Mar-97,QS,OPERATING,COMPACTOR
74459803,165.GND01,EXTERIOR COMPACTOR,21-Jul-01,QS,OPERATING,COMPACTOR
74459802,165.GND01,EXTERIOR COMPACTOR,21-Jul-01,QS,OPERATING,COMPACTOR
74459832,166.GND01,EXTERIOR COMPACTOR,11-Jun-00,BK,OPERATING,COMPACTOR
74459831,166.GND01,EXTERIOR COMPACTOR,11-Jun-00,BK,OPERATING,COMPACTOR
74459906,168.GND01,EXTERIOR COMPACTOR,28-Feb-08,BK,OPERATING,COMPACTOR
74460054,170.GND01,EXTERIOR COMPACTOR,25-Apr-08,BK,OPERATING,COMPACTOR
74460053,170.GND01,EXTERIOR COMPACTOR,13-Dec-07,BK,OPERATING,COMPACTOR
74459928,186.GND01,EXTERIOR COMPACTOR,15-Mar-07,QS,OPERATING,COMPACTOR
74459852,190.GND01,EXTERIOR COMPACTOR,16-Jun-05,BX,OPERATING,COMPACTOR
74459990,194.GND01,EXTERIOR COMPACTOR,9-Nov-02,BK,OPERATING,COMPACTOR
74459877,197.GND01,EXTERIOR COMPACTOR,21-Dec-99,BX,OPERATING,COMPACTOR
74459789,202.GND01,EXTERIOR COMPACTOR,24-Mar-04,BX,OPERATING,COMPACTOR
74459837,206.GND01,EXTERIOR COMPACTOR,12-Jul-02,QS,OPERATING,COMPACTOR
74459861,208.GND01,EXTERIOR COMPACTOR,15-Oct-04,BX,OPERATING,COMPACTOR
74460052,221.GND01,EXTERIOR COMPACTOR,11-Dec-07,BK,OPERATING,COMPACTOR
74459849,232.GND01,EXTERIOR COMPACTOR,10-Mar-05,QS,OPERATING,COMPACTOR
