,DEV_NAME,MANAGED_BY,TDS,CONS_TDS,CONS_NAME
1071,HARLEM RIVER II,HARLEM RIVER,147,003,HARLEM RIVER CONSOLIDATED
1073,HARRISON AVENUE REHAB (GROUP A),KRAUS MANAGEMENT (PRIVATE - BX 3),347,341,KRAUS MANAGEMENT CONSOLIDATED
1074,HARRISON AVENUE REHAB (GROUP B),KRAUS MANAGEMENT (PRIVATE - BX 3),547,341,KRAUS MANAGEMENT CONSOLIDATED
1078,HERNANDEZ,GOMPERS,184,100,GOMPERS CONSOLIDATED
1079,HIGHBRIDGE GARDENS,HIGHBRIDGE GARDENS,078,078,HIGHBRIDGE GARDENS
1085,HOE AVENUE-EAST 173RD STREET,BUILDING MANAGEMENT ASSOCIATES (PRIVATE - BX 1),215,530,BUILDING MANAGEMENT ASSOCIATES CONSOLIDATED
1086,HOLMES TOWERS,ISAACS,159,139,ISAACS CONSOLIDATED
1088,HOWARD,HOWARD,072,072,HOWARD
1099,HOWARD AVENUE,PARK ROCK CONSOLIDATED,339,351,PARK ROCK CONSOLIDATED
1106,HOWARD AVENUE-PARK PLACE,PARK ROCK CONSOLIDATED,365,351,PARK ROCK CONSOLIDATED
1114,HUGHES APARTMENTS,HUGHES APARTMENTS,168,168,LANGSTON HUGHES CONSOLIDATED
1118,HUNTS POINT AVENUE REHAB,BUILDING MANAGEMENT ASSOCIATES (PRIVATE - BX 1),367,530,BUILDING MANAGEMENT ASSOCIATES CONSOLIDATED
1131,HYLAN,BUSHWICK,109,086,BUSHWICK CONSOLIDATED
1132,INDEPENDENCE,TAYLOR STREET-WYTHE AVENUE,140,234,TAYLOR -WYTHE  CONSOLIDATED
1138,INGERSOLL,INGERSOLL,014,014,INGERSOLL
1164,INTERNATIONAL TOWER,BAISLEY PARK,316,091,BAISLEY PARK CONSOLIDATED
1165,ISAACS,ISAACS,139,139,ISAACS CONSOLIDATED
1169,JACKSON,MORRISANIA AIR RIGHTS,120,267,MORRISANIA AIR RIGHTS CONSOLIDATED
1177,JEFFERSON,JEFFERSON,064,064,JEFFERSON CONSOLIDATED
1196,JOHNSON,JOHNSON,017,017,JOHNSON
1206,KING TOWERS,KING TOWERS,030,030,KING TOWERS CONSOLIDATED
1216,KINGSBOROUGH,KINGSBOROUGH,010,010,KINGSBOROUGH CONSOLIDATED
1232,KINGSBOROUGH EXTENSION,KINGSBOROUGH,161,010,KINGSBOROUGH CONSOLIDATED
1234,LA GUARDIA,LA GUARDIA,076,076,LA GUARDIA CONSOLIDATED
1244,LA GUARDIA ADDITION,LA GUARDIA,152,076,LA GUARDIA CONSOLIDATED
1245,LAFAYETTE,LAFAYETTE,122,122,LAFAYETTE
1252,LATIMER GARDENS,LATIMER GARDENS,186,186,LATIMER GARDENS CONSOLIDATED
1256,LEAVITT STREET-34TH AVENUE,LATIMER GARDENS,201,186,LATIMER GARDENS CONSOLIDATED
1257,LEHMAN VILLAGE,LEHMAN VILLAGE,101,101,LEHMAN VILLAGE
1262,LENOX ROAD-ROCKAWAY PARKWAY,REID APARTMENTS,348,167,REID APARTMENTS CONSOLIDATED
1265,LEXINGTON,WASHINGTON,050,062,WASHINGTON CONSOLIDATED
1269,LINCOLN,LINCOLN,020,020,LINCOLN
1283,LINDEN,LINDEN,095,095,LINDEN
1304,LONG ISLAND BAPTIST HOUSES,UNITY PLAZA,276,261,UNITY PLAZA CONSOLIDATED
1309,LONGFELLOW AVENUE REHAB,BUILDING MANAGEMENT ASSOCIATES (PRIVATE - BX 1),362,530,BUILDING MANAGEMENT ASSOCIATES CONSOLIDATED
1311,LOW HOUSES,LOW HOUSES,169,169,SETH LOW CONSOLIDATED
1315,LOWER EAST SIDE I INFILL,GOMPERS,326,100,GOMPERS CONSOLIDATED
1320,LOWER EAST SIDE II,LOWER EAST SIDE CONSOLIDATED,337,337,LOWER EAST SIDE CONSOLIDATED
1325,LOWER EAST SIDE III,KRAUS MANAGEMENT (PRIVATE - M/B 1),364,359,KRAUS MANAGEMENT CONSOLIDATED
1328,LOWER EAST SIDE REHAB (GROUP 5),LOWER EAST SIDE CONSOLIDATED,292,337,LOWER EAST SIDE CONSOLIDATED
1330,MANHATTANVILLE,MANHATTANVILLE,081,081,MANHATTANVILLE CONSOLIDATED
1336,MANHATTANVILLE REHAB (GROUP 2),MANHATTANVILLE,296,081,MANHATTANVILLE CONSOLIDATED
1339,MANHATTANVILLE REHAB (GROUP 3),MANHATTANVILLE,297,081,MANHATTANVILLE CONSOLIDATED
1341,MARBLE HILL,MARBLE HILL,049,049,MARBLE HILL
1354,MARCY,MARCY,021,021,MARCY
1382,MARCY AVENUE-GREENE AVENUE SITE A,KRAUS MANAGEMENT (PRIVATE - M/B 1),363,359,KRAUS MANAGEMENT CONSOLIDATED
1384,MARCY AVENUE-GREENE AVENUE SITE B,KRAUS MANAGEMENT (PRIVATE - M/B 1),358,359,KRAUS MANAGEMENT CONSOLIDATED
1385,MARINER'S HARBOR,MARINER'S HARBOR,077,077,MARINER'S HARBOR
1408,MARLBORO,MARLBORO,083,083,MARLBORO
1438,MARSHALL PLAZA,HARLEM RIVER,344,003,HARLEM RIVER CONSOLIDATED
